content_type,source,polarization
article,bbc,0.0419593956321478
article,cnbc,-0.0022338608687277
article,cnn,-0.0028895679861307005
article,german,-0.024002229794859897
article,reuters,0.030274106189608505
youtube,cnbc_fast_money,0.0190784446895123
youtube,cnbc_news,-0.1195791363716125
youtube,cnn_news,-0.1496220082044602
youtube,fox_news,0.1149463180918247
youtube,reuters_powell,0.0667433086782694
